,Feature,Mean |SHAP|
1,chest_4.0,0.08120383854058544
2,thal_3.0,0.06137361152908099
3,number_of_major_vessels,0.05325523770828777
4,thal_7.0,0.050317775168297406
5,oldpeak,0.030780931740999634
6,maximum_heart_rate_achieved,0.0239494795667088
7,age,0.020649891834224304
8,exercise_induced_angina_1.0,0.01922309506208369
9,slope_1.0,0.01835849062209837
10,exercise_induced_angina_0.0,0.018262380572258347
11,chest_3.0,0.017830590658576007
12,sex_1.0,0.014861674091603775
13,sex_0.0,0.014262624138328251
14,slope_2.0,0.012326435831550023
15,serum_cholestoral,0.0104282124209619
16,resting_electrocardiographic_results_0.0,0.010218639894099449
17,resting_electrocardiographic_results_2.0,0.00911373049499898
18,resting_blood_pressure,0.007623423464703786
19,chest_2.0,0.007429189833623652
20,chest_1.0,0.0009606208869021957
21,thal_6.0,0.00045657846168329974
22,fasting_blood_sugar_1.0,0.0003280828314178321
23,slope_3.0,0.00025574241295709755
24,fasting_blood_sugar_0.0,0.00022394534286199314
25,resting_electrocardiographic_results_1.0,0.0
